INFO:Data Dim:[784, 30, 30, 10]
INFO:Iteration 0, actual_batch_size 50, batch_loss 2.29926681519, acc 0.0799999982119
INFO:Iteration 20, actual_batch_size 50, batch_loss 2.51019310951, acc 0.239999994636
INFO:Iteration 40, actual_batch_size 50, batch_loss 1.41508877277, acc 0.519999980927
INFO:Iteration 60, actual_batch_size 50, batch_loss 0.825351774693, acc 0.719999969006
INFO:Iteration 80, actual_batch_size 50, batch_loss 1.05710887909, acc 0.620000004768
INFO:Iteration 100, actual_batch_size 50, batch_loss 0.707916557789, acc 0.740000009537
INFO:Iteration 120, actual_batch_size 50, batch_loss 1.10596251488, acc 0.620000004768
INFO:Iteration 140, actual_batch_size 50, batch_loss 0.874803483486, acc 0.699999988079
INFO:Iteration 160, actual_batch_size 50, batch_loss 0.66157501936, acc 0.77999997139
INFO:Iteration 180, actual_batch_size 50, batch_loss 0.713787615299, acc 0.77999997139
INFO:Iteration 200, actual_batch_size 50, batch_loss 0.395059347153, acc 0.899999976158
INFO:Iteration 220, actual_batch_size 50, batch_loss 0.484815359116, acc 0.860000014305
INFO:Iteration 240, actual_batch_size 50, batch_loss 0.353045970201, acc 0.879999995232
INFO:Iteration 260, actual_batch_size 50, batch_loss 0.428553462029, acc 0.839999973774
INFO:Iteration 280, actual_batch_size 50, batch_loss 0.259493052959, acc 0.879999995232
INFO:Iteration 300, actual_batch_size 50, batch_loss 0.213724598289, acc 0.959999978542
INFO:Iteration 320, actual_batch_size 50, batch_loss 0.465589910746, acc 0.879999995232
INFO:Iteration 340, actual_batch_size 50, batch_loss 0.54601919651, acc 0.839999914169
INFO:Iteration 360, actual_batch_size 50, batch_loss 0.606377780437, acc 0.839999973774
INFO:Iteration 380, actual_batch_size 50, batch_loss 0.33936226368, acc 0.879999995232
INFO:Iteration 400, actual_batch_size 50, batch_loss 0.196195602417, acc 0.939999938011
INFO:Iteration 420, actual_batch_size 50, batch_loss 0.379654318094, acc 0.860000014305
INFO:Iteration 440, actual_batch_size 50, batch_loss 0.299873322248, acc 0.920000016689
INFO:Iteration 460, actual_batch_size 50, batch_loss 0.652409374714, acc 0.840000033379
INFO:Iteration 480, actual_batch_size 50, batch_loss 0.322938144207, acc 0.880000054836
INFO:Iteration 500, actual_batch_size 50, batch_loss 0.271798849106, acc 0.94000005722
INFO:Iteration 520, actual_batch_size 50, batch_loss 0.819373011589, acc 0.800000011921
INFO:Iteration 540, actual_batch_size 50, batch_loss 0.214385524392, acc 0.94000005722
INFO:Iteration 560, actual_batch_size 50, batch_loss 0.342858731747, acc 0.900000035763
INFO:Iteration 580, actual_batch_size 50, batch_loss 0.358082085848, acc 0.919999957085
INFO:Iteration 600, actual_batch_size 50, batch_loss 0.162258222699, acc 0.959999978542
INFO:Iteration 620, actual_batch_size 50, batch_loss 0.494690090418, acc 0.839999973774
INFO:Iteration 640, actual_batch_size 50, batch_loss 0.370332837105, acc 0.920000016689
INFO:Iteration 660, actual_batch_size 50, batch_loss 0.357385993004, acc 0.880000054836
INFO:Iteration 680, actual_batch_size 50, batch_loss 0.302150428295, acc 0.879999995232
INFO:Iteration 700, actual_batch_size 50, batch_loss 0.140601500869, acc 0.939999997616
INFO:Iteration 720, actual_batch_size 50, batch_loss 0.618788540363, acc 0.879999935627
INFO:Iteration 740, actual_batch_size 50, batch_loss 0.360078930855, acc 0.920000016689
INFO:Iteration 760, actual_batch_size 50, batch_loss 0.319236189127, acc 0.899999976158
INFO:Iteration 780, actual_batch_size 50, batch_loss 0.346696257591, acc 0.920000016689
INFO:Iteration 800, actual_batch_size 50, batch_loss 0.457181483507, acc 0.879999995232
INFO:Iteration 820, actual_batch_size 50, batch_loss 0.205749511719, acc 0.94000005722
INFO:Iteration 840, actual_batch_size 50, batch_loss 0.44012221694, acc 0.920000016689
INFO:Iteration 860, actual_batch_size 50, batch_loss 0.315946489573, acc 0.899999976158
INFO:Iteration 880, actual_batch_size 50, batch_loss 0.0819074884057, acc 0.959999978542
INFO:Iteration 900, actual_batch_size 50, batch_loss 0.315500169992, acc 0.919999957085
INFO:Iteration 920, actual_batch_size 50, batch_loss 0.100566387177, acc 0.960000038147
INFO:Iteration 940, actual_batch_size 50, batch_loss 0.166690438986, acc 0.980000019073
INFO:Iteration 960, actual_batch_size 50, batch_loss 0.293502509594, acc 0.939999997616
INFO:Iteration 980, actual_batch_size 50, batch_loss 0.172095507383, acc 0.939999997616
INFO:Iteration 1000, actual_batch_size 50, batch_loss 0.107273668051, acc 0.980000019073
INFO:Iteration 1020, actual_batch_size 50, batch_loss 0.155455812812, acc 0.919999957085
INFO:Iteration 1040, actual_batch_size 50, batch_loss 0.330933064222, acc 0.8599999547
INFO:Iteration 1060, actual_batch_size 50, batch_loss 0.0817468836904, acc 0.980000019073
INFO:Iteration 1080, actual_batch_size 50, batch_loss 0.174812123179, acc 0.939999997616
INFO:Iteration 1100, actual_batch_size 50, batch_loss 0.2625605762, acc 0.920000016689
INFO:Iteration 1120, actual_batch_size 50, batch_loss 0.148847058415, acc 0.94000005722
INFO:Iteration 1140, actual_batch_size 50, batch_loss 0.242583155632, acc 0.939999997616
INFO:Iteration 1160, actual_batch_size 50, batch_loss 0.0814209207892, acc 1.0
INFO:Iteration 1180, actual_batch_size 50, batch_loss 0.131753832102, acc 0.980000019073
INFO:Iteration 1200, actual_batch_size 50, batch_loss 0.0568216405809, acc 0.979999959469
INFO:Iteration 1220, actual_batch_size 50, batch_loss 0.11494205147, acc 0.959999978542
INFO:Iteration 1240, actual_batch_size 50, batch_loss 0.105821803212, acc 0.979999959469
INFO:Iteration 1260, actual_batch_size 50, batch_loss 0.234324380755, acc 0.920000016689
INFO:Iteration 1280, actual_batch_size 50, batch_loss 0.279471665621, acc 0.899999976158
INFO:Iteration 1300, actual_batch_size 50, batch_loss 0.191870257258, acc 0.920000016689
INFO:Iteration 1320, actual_batch_size 50, batch_loss 0.191941216588, acc 0.919999957085
INFO:Iteration 1340, actual_batch_size 50, batch_loss 0.247726559639, acc 0.920000016689
INFO:Iteration 1360, actual_batch_size 50, batch_loss 0.390180021524, acc 0.899999976158
INFO:Iteration 1380, actual_batch_size 50, batch_loss 0.108515590429, acc 0.980000019073
INFO:Iteration 1400, actual_batch_size 50, batch_loss 0.0760283917189, acc 0.980000019073
INFO:Iteration 1420, actual_batch_size 50, batch_loss 0.124201372266, acc 0.959999978542
INFO:Iteration 1440, actual_batch_size 50, batch_loss 0.235870301723, acc 0.919999957085
INFO:Iteration 1460, actual_batch_size 50, batch_loss 0.36888641119, acc 0.920000016689
INFO:Iteration 1480, actual_batch_size 50, batch_loss 0.118924356997, acc 0.979999959469
INFO:Iteration 1500, actual_batch_size 50, batch_loss 0.141134291887, acc 0.959999978542
INFO:Iteration 1520, actual_batch_size 50, batch_loss 0.10365152359, acc 0.980000019073
INFO:Iteration 1540, actual_batch_size 50, batch_loss 0.283185571432, acc 0.959999978542
INFO:Iteration 1560, actual_batch_size 50, batch_loss 0.1511708498, acc 0.939999938011
INFO:Iteration 1580, actual_batch_size 50, batch_loss 0.174713522196, acc 0.920000016689
INFO:Iteration 1600, actual_batch_size 50, batch_loss 0.282019436359, acc 0.880000054836
INFO:Iteration 1620, actual_batch_size 50, batch_loss 0.249287262559, acc 0.979999959469
INFO:Iteration 1640, actual_batch_size 50, batch_loss 0.0326794013381, acc 1.0
INFO:Iteration 1660, actual_batch_size 50, batch_loss 0.18175765872, acc 0.920000016689
INFO:Iteration 1680, actual_batch_size 50, batch_loss 0.164385527372, acc 0.959999978542
INFO:Iteration 1700, actual_batch_size 50, batch_loss 0.0665576085448, acc 0.980000019073
INFO:Iteration 1720, actual_batch_size 50, batch_loss 0.18491987884, acc 0.939999997616
INFO:Iteration 1740, actual_batch_size 50, batch_loss 0.0835570544004, acc 0.980000019073
INFO:Iteration 1760, actual_batch_size 50, batch_loss 0.182628974319, acc 0.939999997616
INFO:Iteration 1780, actual_batch_size 50, batch_loss 0.224895969033, acc 0.899999976158
INFO:Iteration 1800, actual_batch_size 50, batch_loss 0.230831325054, acc 0.939999997616
INFO:Iteration 1820, actual_batch_size 50, batch_loss 0.165206432343, acc 0.959999978542
INFO:Iteration 1840, actual_batch_size 50, batch_loss 0.0945835858583, acc 0.980000019073
INFO:Iteration 1860, actual_batch_size 50, batch_loss 0.0698883160949, acc 0.979999959469
INFO:Iteration 1880, actual_batch_size 50, batch_loss 0.128229096532, acc 0.960000038147
INFO:Iteration 1900, actual_batch_size 50, batch_loss 0.285752147436, acc 0.920000016689
INFO:Iteration 1920, actual_batch_size 50, batch_loss 0.121510960162, acc 0.94000005722
INFO:Iteration 1940, actual_batch_size 50, batch_loss 0.163610249758, acc 0.939999997616
INFO:Iteration 1960, actual_batch_size 50, batch_loss 0.368201762438, acc 0.899999976158
INFO:Iteration 1980, actual_batch_size 50, batch_loss 0.179891467094, acc 0.919999957085
INFO:Iteration 2000, actual_batch_size 50, batch_loss 0.500016927719, acc 0.860000014305
INFO:Iteration 2020, actual_batch_size 50, batch_loss 0.0457787699997, acc 0.979999959469
INFO:Iteration 2040, actual_batch_size 50, batch_loss 0.0655026510358, acc 0.979999959469
INFO:Iteration 2060, actual_batch_size 50, batch_loss 0.19354198873, acc 0.959999978542
INFO:Iteration 2080, actual_batch_size 50, batch_loss 0.137760385871, acc 0.939999997616
INFO:Iteration 2100, actual_batch_size 50, batch_loss 0.201997101307, acc 0.939999997616
INFO:Iteration 2120, actual_batch_size 50, batch_loss 0.179767265916, acc 0.920000016689
INFO:Iteration 2140, actual_batch_size 50, batch_loss 0.286487102509, acc 0.8599999547
INFO:Iteration 2160, actual_batch_size 50, batch_loss 0.0362460315228, acc 1.0
INFO:Iteration 2180, actual_batch_size 50, batch_loss 0.173275411129, acc 0.959999978542
INFO:Iteration 2200, actual_batch_size 50, batch_loss 0.269518971443, acc 0.939999997616
INFO:Iteration 2220, actual_batch_size 50, batch_loss 0.36297121644, acc 0.960000038147
INFO:Iteration 2240, actual_batch_size 50, batch_loss 0.132377833128, acc 0.960000038147
INFO:Iteration 2260, actual_batch_size 50, batch_loss 0.061519280076, acc 0.980000019073
INFO:Iteration 2280, actual_batch_size 50, batch_loss 0.0796063169837, acc 0.980000019073
INFO:Iteration 2300, actual_batch_size 50, batch_loss 0.0997107699513, acc 0.980000019073
INFO:Iteration 2320, actual_batch_size 50, batch_loss 0.141225636005, acc 0.960000038147
INFO:Iteration 2340, actual_batch_size 50, batch_loss 0.0311401244253, acc 1.0
INFO:Iteration 2360, actual_batch_size 50, batch_loss 0.0559435971081, acc 0.980000019073
INFO:Iteration 2380, actual_batch_size 50, batch_loss 0.318136483431, acc 0.8599999547
INFO:Iteration 2400, actual_batch_size 50, batch_loss 0.164484649897, acc 0.939999997616
INFO:Iteration 2420, actual_batch_size 50, batch_loss 0.095341399312, acc 0.979999959469
INFO:Iteration 2440, actual_batch_size 50, batch_loss 0.203539088368, acc 0.919999957085
INFO:Iteration 2460, actual_batch_size 50, batch_loss 0.0715570598841, acc 0.979999959469
INFO:Iteration 2480, actual_batch_size 50, batch_loss 0.0717179477215, acc 0.980000019073
INFO:Iteration 2500, actual_batch_size 50, batch_loss 0.194526463747, acc 0.94000005722
INFO:Iteration 2520, actual_batch_size 50, batch_loss 0.148121580482, acc 0.939999938011
INFO:Iteration 2540, actual_batch_size 50, batch_loss 0.0794120654464, acc 0.980000019073
INFO:Iteration 2560, actual_batch_size 50, batch_loss 0.226113468409, acc 0.919999957085
INFO:Iteration 2580, actual_batch_size 50, batch_loss 0.124358460307, acc 0.980000019073
INFO:Iteration 2600, actual_batch_size 50, batch_loss 0.121276825666, acc 0.979999959469
INFO:Iteration 2620, actual_batch_size 50, batch_loss 0.152112826705, acc 0.939999997616
INFO:Iteration 2640, actual_batch_size 50, batch_loss 0.211241319776, acc 0.959999978542
INFO:Iteration 2660, actual_batch_size 50, batch_loss 0.100626371801, acc 0.959999978542
INFO:Iteration 2680, actual_batch_size 50, batch_loss 0.206155225635, acc 0.980000019073
INFO:Iteration 2700, actual_batch_size 50, batch_loss 0.0188387464732, acc 1.0
INFO:Iteration 2720, actual_batch_size 50, batch_loss 0.290361166, acc 0.920000016689
INFO:Iteration 2740, actual_batch_size 50, batch_loss 0.0766365081072, acc 1.0
INFO:Iteration 2760, actual_batch_size 50, batch_loss 0.23901668191, acc 0.939999997616
INFO:Iteration 2780, actual_batch_size 50, batch_loss 0.112344130874, acc 0.960000038147
INFO:Iteration 2800, actual_batch_size 50, batch_loss 0.0242164842784, acc 1.0
INFO:Iteration 2820, actual_batch_size 50, batch_loss 0.214664682746, acc 0.920000016689
INFO:Iteration 2840, actual_batch_size 50, batch_loss 0.122444696724, acc 0.94000005722
INFO:Iteration 2860, actual_batch_size 50, batch_loss 0.127404928207, acc 0.979999959469
INFO:Iteration 2880, actual_batch_size 50, batch_loss 0.128722816706, acc 0.939999938011
INFO:Iteration 2900, actual_batch_size 50, batch_loss 0.235575214028, acc 0.899999976158
INFO:Iteration 2920, actual_batch_size 50, batch_loss 0.11701464653, acc 0.959999978542
INFO:Iteration 2940, actual_batch_size 50, batch_loss 0.347471684217, acc 0.860000014305
INFO:Iteration 2960, actual_batch_size 50, batch_loss 0.26012507081, acc 0.920000016689
INFO:Iteration 2980, actual_batch_size 50, batch_loss 0.0801605135202, acc 0.959999978542
